‐  hyphen
‑  non-breaking hyphen
‒  figure dash
–  en dash
—  em dash
―  horizontal bar
‖  double vertical line
‗  double low line
‘  left single quotation mark
’  right single quotation mark
‚  single low-9 quotation mark
‛  single high-reversed-9 quotation mark
“  left double quotation mark
”  right double quotation mark
„  double low-9 quotation mark
‟  double high-reversed-9 quotation mark
†  dagger
‡  double dagger
•  bullet
‣  triangular bullet
․  one dot leader
‥  two dot leader
…  horizontal ellipsis
‧  hyphenation point
‰  per mille sign
‱  per ten thousand sign
′  prime
″  double prime
‴  triple prime
‵  reversed prime
‶  reversed double prime
‷  reversed triple prime
‸  caret
‹  single left-pointing angle quotation mark
›  single right-pointing angle quotation mark
※  reference mark
‼  double exclamation mark
‽  interrobang
‾  overline
‿  undertie
⁀  character tie
⁁  caret insertion point
⁂  asterism
⁃  hyphen bullet
⁄  fraction slash
⁅  left square bracket with quill
⁆  right square bracket with quill
⁇  double question mark
⁈  question exclamation mark
⁉  exclamation question mark
⁊  tironian sign et
⁋  reversed pilcrow sign
⁌  black leftwards bullet
⁍  black rightwards bullet
⁎  low asterisk
⁏  reversed semicolon
⁐  close up
⁑  two asterisks aligned vertically
⁒  commercial minus sign
⁓  swung dash
⁔  inverted undertie
⁕  flower punctuation mark
⁖  three dot punctuation
⁗  quadruple prime
⁘  four dot punctuation
⁙  five dot punctuation
⁚  two dot punctuation
⁛  four dot mark
⁜  dotted cross
⁝  tricolon
⁞  vertical four dots
⁰  superscript zero
ⁱ  superscript latin small letter i
⁴  superscript four
⁵  superscript five
⁶  superscript six
⁷  superscript seven
⁸  superscript eight
⁹  superscript nine
⁺  superscript plus sign
⁻  superscript minus
⁼  superscript equals sign
⁽  superscript left parenthesis
⁾  superscript right parenthesis
ⁿ  superscript latin small letter n
₀  subscript zero
₁  subscript one
₂  subscript two
₃  subscript three
₄  subscript four
₅  subscript five
₆  subscript six
₇  subscript seven
₈  subscript eight
₉  subscript nine
₊  subscript plus sign
₋  subscript minus
₌  subscript equals sign
₍  subscript left parenthesis
₎  subscript right parenthesis
ₐ  latin subscript small letter a
ₑ  latin subscript small letter e
ₒ  latin subscript small letter o
ₓ  latin subscript small letter x
ₔ  latin subscript small letter schwa
ₕ  latin subscript small letter h
ₖ  latin subscript small letter k
ₗ  latin subscript small letter l
ₘ  latin subscript small letter m
